,position,company,location,min_salary,max_salary,currency,link
1355,Педагог дополнительного образования (Программирование на Python) (г.Кириши), ГАПОУ ЛО Киришский Политехнический Техникум ,Тосно,,,,https://hh.ru/vacancy/37081848?query=Python
1356,Педагог дополнительного образования (Программирование на Python) (г.Кириши), ГАПОУ ЛО Киришский Политехнический Техникум ,Сосновый,,,,https://hh.ru/vacancy/37081849?query=Python
1357,С# Developer (+Python), Лаборатория Касперского ,Москва,,,,https://hh.ru/vacancy/36764975?query=Python
1358,"Junior consultant in Strategy& Operations Group, CIPS (Consumer & Industrial Products)"," PwC, Департамент бизнес-консультирования ",Москва,,,,https://hh.ru/vacancy/37292695?query=Python
1359,Front-end Developer, Gurtam ,Минск,,,,https://hh.ru/vacancy/37392284?query=Python
1360,Python developer,АО РТСофт ,Чебоксары,,,,https://hh.ru/vacancy/37032822?query=Python
1361,Программист, SEVENCOM ,Верхняя,50000,,руб.,https://hh.ru/vacancy/36274271?query=Python
1362,Ведущий разработчик Ruby, Бюджетные и Финансовые Технологии ,Москва,,,,https://hh.ru/vacancy/37135288?query=Python
1363,Аналитик, Перекресток ,Москва,,,,https://hh.ru/vacancy/36991896?query=Python
1364,Руководитель направления нагрузочного тестирования, Сбербанк для экспертов ,Москва,,,,https://hh.ru/vacancy/37386997?query=Python
1365,Системный аналитик,ТОО DAR Group Limited ,Алматы,,,,https://hh.ru/vacancy/37388063?query=Python
1366,Старший специалист по развитию систем самообслуживания (Аналитик),"ПАО МегаФон, Digital ",Самара,,,,https://hh.ru/vacancy/37008559?query=Python
1367,Администратор Linux / IP телефонии / разработчик Python,ООО Скайнет ,Казань,,,,https://hh.ru/vacancy/37176903?query=Python
1368,Инженер программист JAVA, РБК ,Москва,,,,https://hh.ru/vacancy/35768074?query=Python
1369,Full stack developer на внутренние продукты, TradingView ,Ростов-на-Дону,,,,https://hh.ru/vacancy/35895142?query=Python
1370,Senior Data Scientist (BigData), DINS ,Санкт-Петербург,,,,https://hh.ru/vacancy/35203074?query=Python
1371,Системный администратор (Веб-программист), Энергомашкомплект ,Саратов,,,,https://hh.ru/vacancy/35009633?query=Python
1372,Специалист по отчетности в отдел BI, METRO Cash & Carry ,Москва,,,,https://hh.ru/vacancy/34031205?query=Python
1373,Администратор Linux, Банк Хоум Кредит ,Москва,,,,https://hh.ru/vacancy/36946408?query=Python
1374,Recommendation Platform Engineer/Expert, HUAWEI ,Нижний,,,,https://hh.ru/vacancy/36554456?query=Python
1375,QA engineer (auto), КОРУС Консалтинг СНГ ,Москва,,180000,руб.,https://hh.ru/vacancy/36637186?query=Python
1376,Back-end developer, КБ Стрелка ,Москва,,,,https://hh.ru/vacancy/37401665?query=Python
1377,Младший/старший научный сотрудник (численный расчёт), ФГУП Центральный научно-исследовательский институт химии и механики ,Москва,,,,https://hh.ru/vacancy/36953590?query=Python
1378,DevOps (Big Data),АО Почтовые технологии ,Москва,,,,https://hh.ru/vacancy/37386905?query=Python
1379,Senior Python Developer, ЦИАН ГРУПП ,Москва,,,,https://hh.ru/vacancy/36813668?query=Python
1380,DevOps -инженер (senior/middle),ООО РСХБ-Интех ,Москва,190000,,руб.,https://hh.ru/vacancy/37162322?query=Python
